iter	Accuracy	Logloss
228	0.825125	0.3979003563
229	0.825625	0.3974898043
230	0.82675	0.3968242182
231	0.827875	0.3963038205
232	0.82975	0.3954628936
233	0.830375	0.3947772859
234	0.831875	0.3939775044
235	0.835	0.3928817128
236	0.8365	0.3921255396
237	0.836625	0.3915364861
238	0.837875	0.3908821428
239	0.838375	0.3902418954
240	0.839	0.3894535922
241	0.840125	0.3887096407
242	0.84075	0.3880521722
243	0.8425	0.387392486
244	0.8445	0.3865728817
245	0.847375	0.3856453655
246	0.84825	0.3851876278
247	0.848875	0.3845638652
248	0.8495	0.3838554146
249	0.85075	0.3833303631
250	0.852	0.3828012346
251	0.85225	0.3822918781
252	0.853125	0.3811243061
253	0.85425	0.3805957796
254	0.854875	0.3799574255
255	0.85775	0.3791994691
256	0.85825	0.3783296138
257	0.858875	0.3774147943
258	0.860625	0.3766730151
259	0.861875	0.375929929
260	0.862875	0.3752481184
261	0.862875	0.3745078294
262	0.863625	0.3739346343
263	0.865125	0.3730266876
264	0.866875	0.3723623616
265	0.868	0.3718618904
266	0.868375	0.3710888223
267	0.8695	0.3700162297
268	0.8705	0.3692583854
269	0.871375	0.3685365268
270	0.87225	0.3679062642
271	0.872875	0.3674924074
272	0.874625	0.3667007256
273	0.874875	0.3661186335
274	0.875875	0.3656745586
275	0.87725	0.3646911399
276	0.878	0.364032194
277	0.878375	0.363348826
278	0.8795	0.3627291318
279	0.88	0.3619762823
280	0.88125	0.3613217516
281	0.881375	0.3608629536
282	0.882875	0.3598218555
283	0.883125	0.3589988924
284	0.88475	0.3582375176
285	0.8855	0.3576127912
286	0.886	0.3571491178
287	0.886	0.3563687707
288	0.887125	0.3559380448
289	0.888375	0.3553208052
290	0.888625	0.3545152286
291	0.889625	0.3538628996
292	0.889625	0.3531636628
293	0.89125	0.3527012243
294	0.89225	0.3521555315
295	0.892125	0.3514892851
296	0.8925	0.350925101
297	0.89375	0.3498986443
298	0.89475	0.3494962013
299	0.895625	0.3487628103
300	0.895625	0.3483574987
301	0.89675	0.3476735342
302	0.896625	0.3471932651
303	0.897875	0.3465307616
304	0.898	0.3460550708
305	0.89925	0.3453011716
306	0.89975	0.3447632839
307	0.90075	0.3441523763
308	0.902375	0.3436656588
309	0.902375	0.3428135861
310	0.903875	0.3419994215
311	0.904875	0.3413203233
312	0.9065	0.3406026612
313	0.906875	0.3401590158
314	0.907625	0.3392194448
315	0.907625	0.3386552791
316	0.908625	0.3380777539
317	0.909	0.3374783932
318	0.910125	0.3367769796
319	0.912625	0.3360641529
320	0.9135	0.3353453093
321	0.913375	0.3347004806
322	0.9145	0.334121706
323	0.915	0.3333694073
324	0.915875	0.3327444535
325	0.916375	0.3319276863
